class,precision,recall,f1_score,support
BENIGN,0.99421,0.98838,0.991286,419012
Bot,0.59194,0.602564,0.597205,390
DDoS,0.997659,0.998672,0.998165,25603
DoS GoldenEye,0.987562,0.964998,0.976149,2057
DoS Hulk,0.965012,0.995719,0.980125,34569
DoS Slowhttptest,0.977143,0.98088,0.979008,1046
DoS slowloris,0.983732,0.954503,0.968897,1077
FTP-Patator,0.981605,0.989882,0.985726,1186
Heartbleed,1.0,1.0,1.0,2
Infiltration,0.6,0.857143,0.705882,7
PortScan,0.852915,0.902475,0.876996,18139
SSH-Patator,0.996564,0.900621,0.946166,644
Web Attack � Brute Force,0.925926,0.085034,0.155763,294
Web Attack � Sql Injection,0.02,0.75,0.038961,4
Web Attack � XSS,0.105426,0.523077,0.175484,130
macro avg,0.798646,0.83293,0.758388,504160
weighted avg,0.986594,0.985074,0.985538,504160
