config_A,config_B,n_seeds,seeds,mean_delta_A_minus_B,CI95_lo,CI95_hi,p_value,significant_at_0.05
none,ROS-m,3,"42,123,2024",-4.119,-9.201,-1.283,0.0,True
none,SMOTE-m,3,"42,123,2024",-5.24,-9.526,-1.427,0.0,True
none,ADASYN-m,3,"42,123,2024",-4.81,-9.347,-2.392,0.0,True
none,CTGAN,5,"7,42,123,1337,2024",-3.882,-6.869,-0.911,0.004,True
none,strictCTGAN,3,"42,123,2024",-4.057,-9.939,0.782,0.0666,False
none,TVAE-all,3,"42,123,2024",-2.488,-9.599,2.906,0.52,False
none,Interp-all,3,"42,123,2024",-2.332,-5.727,2.051,0.2974,False
none,CB-HAS,5,"7,42,123,1337,2024",-3.437,-8.954,1.452,0.22,False
ROS-m,SMOTE-m,3,"42,123,2024",-1.121,-2.893,-0.144,0.0,True
ROS-m,ADASYN-m,3,"42,123,2024",-0.691,-1.109,-0.146,0.0,True
ROS-m,CTGAN,3,"42,123,2024",-0.617,-2.552,1.142,0.5164,False
ROS-m,strictCTGAN,3,"42,123,2024",0.063,-1.731,2.656,0.8102,False
ROS-m,TVAE-all,3,"42,123,2024",1.631,-0.398,4.189,0.0746,False
ROS-m,Interp-all,3,"42,123,2024",1.787,-1.446,3.474,0.0666,False
ROS-m,CB-HAS,3,"42,123,2024",-1.017,-4.565,1.969,0.5084,False
SMOTE-m,ADASYN-m,3,"42,123,2024",0.43,-0.965,2.077,0.5164,False
SMOTE-m,CTGAN,3,"42,123,2024",0.504,-0.116,1.286,0.0746,False
SMOTE-m,strictCTGAN,3,"42,123,2024",1.183,-1.587,5.549,0.591,False
SMOTE-m,TVAE-all,3,"42,123,2024",2.752,-0.073,4.333,0.0746,False
SMOTE-m,Interp-all,3,"42,123,2024",2.908,1.447,3.799,0.0,True
SMOTE-m,CB-HAS,3,"42,123,2024",0.104,-4.239,4.862,0.808,False
ADASYN-m,CTGAN,3,"42,123,2024",0.074,-1.735,2.252,0.8054,False
ADASYN-m,strictCTGAN,3,"42,123,2024",0.753,-0.622,3.473,0.591,False
ADASYN-m,TVAE-all,3,"42,123,2024",2.322,-0.252,5.298,0.0746,False
ADASYN-m,Interp-all,3,"42,123,2024",2.478,-0.629,4.443,0.0666,False
ADASYN-m,CB-HAS,3,"42,123,2024",-0.326,-4.418,2.785,0.8112,False
CTGAN,strictCTGAN,3,"42,123,2024",0.679,-2.873,5.208,0.8102,False
CTGAN,TVAE-all,3,"42,123,2024",2.248,0.043,3.655,0.0,True
CTGAN,Interp-all,3,"42,123,2024",2.404,1.106,3.915,0.0,True
CTGAN,CB-HAS,5,"7,42,123,1337,2024",0.445,-2.469,3.359,0.8114,False
strictCTGAN,TVAE-all,3,"42,123,2024",1.569,-1.553,5.92,0.5082,False
strictCTGAN,Interp-all,3,"42,123,2024",1.725,-4.102,5.065,0.5138,False
strictCTGAN,CB-HAS,3,"42,123,2024",-1.079,-3.827,1.277,0.2974,False
TVAE-all,Interp-all,3,"42,123,2024",0.156,-2.549,3.872,0.8112,False
TVAE-all,CB-HAS,3,"42,123,2024",-2.648,-4.643,0.866,0.0666,False
Interp-all,CB-HAS,3,"42,123,2024",-2.804,-8.038,3.415,0.2892,False
