class,test_support,TP,FP,FN,recall,recall_CI95_lo,recall_CI95_hi,precision,prec_CI95_lo,prec_CI95_hi
Heartbleed,2,2,0,0,1.0,0.3424,1.0,1.0,0.3424,1.0
Web Attack � Sql Injection,4,3,25,1,0.75,0.3006,0.9544,0.1071,0.0371,0.272
Infiltration,7,7,0,0,1.0,0.6457,1.0,1.0,0.6457,1.0
Web Attack � XSS,130,7,1,123,0.0538,0.0263,0.107,0.875,0.5291,0.9776
Web Attack � Brute Force,294,275,121,19,0.9354,0.9013,0.9582,0.6944,0.6474,0.7378
Bot,390,168,11,222,0.4308,0.3825,0.4804,0.9385,0.8933,0.9653
SSH-Patator,644,613,20,31,0.9519,0.9325,0.9659,0.9684,0.9517,0.9795
DoS Slowhttptest,1046,1040,20,6,0.9943,0.9875,0.9974,0.9811,0.971,0.9878
DoS slowloris,1077,1061,5,16,0.9851,0.976,0.9908,0.9953,0.9891,0.998
FTP-Patator,1186,1183,3,3,0.9975,0.9926,0.9991,0.9975,0.9926,0.9991
DoS GoldenEye,2057,2023,9,34,0.9835,0.977,0.9881,0.9956,0.9916,0.9977
PortScan,18139,18120,201,19,0.999,0.9984,0.9993,0.989,0.9874,0.9904
DDoS,25603,25588,10,15,0.9994,0.999,0.9996,0.9996,0.9993,0.9998
DoS Hulk,34569,34336,278,233,0.9933,0.9923,0.9941,0.992,0.991,0.9929
BENIGN,419012,418501,529,511,0.9988,0.9987,0.9989,0.9987,0.9986,0.9988
